"Kyu", "Name", "Desc", "Detail", "Picture"
2, "キョルダリソギ()", "곁다리서기", "hoge", "NoImage"
2, "コアソギ(交差立ち)", "꼬아서기", "（ア・ティ）コアソギ(（前・後）交差立ち)もある。", "NoImage"
2, "ナラニソギ(並行立ち)", "나란히서기", "自然体.ジュンビソギともいう.", "NoImage"
2, "ティックピ(後屈立ち)", "뒷굽이", "hoge", "NoImage"
2, "モソギ()", "모서기", "hoge", "NoImage"
2, "モアソギ()", "모아서기", "hoge", "NoImage"
2, "ポンソギ(猫足立ち)", "범서기", "虎立ちとも呼ばれる.", "NoImage"
2, "アックビ(前屈立ち)", "앞굽이", "hoge", "NoImage"
2, "アプソギ(歩行立ち)", "앞서기", "自然体から軽く一歩足を出す.", "NoImage"
2, "ヨプソギ()", "옆서기", "hoge", "NoImage"
2, "チュチュムソギ(騎馬立ち)", "주춤서기", "hoge", "NoImage"
2, "ハクタリソギ(鶴足立ち)", "학다리서기", "hoge", "NoImage"
